出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","104","1","8926","台汽電","307102.00","258103.00","48999.00","--","--","48999.00","42895.00","--","6104.00","219821.00","225925.00","2980.00","222945.00","--","--","222945.00","7863.00","--","230808.00","222945.00","--","--","230808.00","--","--","0.38"
"114/03/26","104","1","8940","新天地","525611.00","273561.00","252050.00","--","--","252050.00","200540.00","0.00","51510.00","-63.00","51447.00","11608.00","39839.00","--","--","39839.00","-4170.00","--","35669.00","44989.00","--","-5150.00","41081.00","--","-5412.00","0.67"
"114/03/26","104","1","8996","高力","551191.00","412165.00","139026.00","--","--","139026.00","81616.00","--","57410.00","-17019.00","40391.00","5000.00","35391.00","--","--","35391.00","-2229.00","--","33162.00","35391.00","--","--","33162.00","--","--","0.44"
"114/03/26","104","1","9802","鈺齊-KY","2516053.00","2094108.00","421945.00","--","--","421945.00","244145.00","--","177800.00","1081.00","178881.00","38926.00","139955.00","--","--","139955.00","-51681.00","--","88274.00","141519.00","--","-1564.00","83277.00","--","4997.00","1.10"
"114/03/26","104","1","9902","台火","27870.00","28089.00","-219.00","--","--","-219.00","7149.00","--","-7368.00","-569.00","-7937.00","0.00","-7937.00","--","--","-7937.00","-1928.00","--","-9865.00","-7931.00","--","-6.00","-9826.00","--","-39.00","-0.08"
"114/03/26","104","1","9904","寶成","62252413.00","48003960.00","14248453.00","--","--","14248453.00","12023088.00","--","2225365.00","2125374.00","4350739.00","647642.00","3703097.00","--","--","3703097.00","1792847.00","--","5495944.00","2096490.00","--","1606607.00","3639408.00","--","1856536.00","0.71"
"114/03/26","104","1","9905","大華","1894549.00","1631617.00","262932.00","--","--","262932.00","146894.00","--","116038.00","13093.00","129131.00","23454.00","105677.00","--","--","105677.00","-30727.00","--","74950.00","105677.00","--","--","74950.00","--","--","0.35"
"114/03/26","104","1","9906","欣巴巴","320509.00","269599.00","50910.00","0.00","0.00","50910.00","32330.00","0.00","18580.00","-3271.00","15309.00","0.00","15309.00","0.00","--","15309.00","--","--","15309.00","15309.00","--","--","15309.00","--","--","0.22"
"114/03/26","104","1","9907","統一實","10462770.00","9375220.00","1087550.00","--","--","1087550.00","703898.00","--","383652.00","265167.00","648819.00","176523.00","472296.00","--","--","472296.00","-115461.00","--","356835.00","492387.00","--","-20091.00","388130.00","--","-31295.00","0.31"
"114/03/26","104","1","9908","大台北","1247759.00","1103322.00","144437.00","--","--","144437.00","66601.00","-925.00","76911.00","68950.00","145861.00","37722.00","108139.00","--","--","108139.00","153070.00","--","261209.00","100060.00","--","8079.00","240548.00","--","20661.00","0.20"
"114/03/26","104","1","9910","豐泰","12318017.00","9863280.00","2454737.00","--","--","2454737.00","1380533.00","--","1074204.00","152497.00","1226701.00","321008.00","905693.00","--","--","905693.00","-130898.00","--","774795.00","837941.00","--","67752.00","728423.00","--","46372.00","1.45"
"114/03/26","104","1","9911","櫻花","1255588.00","864430.00","391158.00","--","--","391158.00","240970.00","--","150188.00","-11111.00","139077.00","23729.00","115348.00","--","--","115348.00","-2542.00","--","112806.00","115348.00","--","--","112806.00","--","--","0.42"
